肌肉名称(中文),肌肉名称(英文),体积(cm³),体积(mm³),平均面积(mm²),最大面积(mm²),出现切片数,切片范围
左侧背部肌群,Left Autochthon,504.63,504630.00,1048.04,2088.00,321,0-398
右侧背部肌群,Right Autochthon,508.81,508811.62,1060.02,2004.75,320,79-398
左臀大肌,Left Gluteus Maximus,371.20,371196.00,2632.60,3865.50,94,0-93
右臀大肌,Right Gluteus Maximus,434.72,434720.25,2734.09,3766.50,106,0-105
左臀中肌,Left Gluteus Medius,260.77,260772.75,1829.98,2607.75,95,25-119
右臀中肌,Right Gluteus Medius,290.03,290030.62,1953.07,3012.75,99,33-131
左臀小肌,Left Gluteus Minimus,56.31,56311.88,636.29,843.75,59,25-83
右臀小肌,Right Gluteus Minimus,68.09,68090.62,732.16,1129.50,62,41-102
左髂腰肌,Left Iliopsoas,301.84,301843.12,1031.94,2007.00,195,8-202
右髂腰肌,Right Iliopsoas,299.45,299450.25,1018.54,2045.25,196,10-205
